Id,Expected
test_1.jpg,0.9027282
test_2.jpg,0.41127047
test_3.jpg,0.99291706
test_4.jpg,0.019777365
test_5.jpg,0.0888235
test_6.jpg,0.1072157
test_7.jpg,0.9935383
test_8.jpg,0.9926634
test_9.jpg,0.99900585
test_10.jpg,0.32287163
test_11.jpg,0.0030509545
test_12.jpg,0.98383486
test_13.jpg,0.0027168323
test_14.jpg,5.1558272e-06
test_15.jpg,0.98350567
test_16.jpg,0.00043562846
test_17.jpg,0.00053737423
test_18.jpg,0.8516145
test_19.jpg,0.80300134
test_20.jpg,0.3167914
test_21.jpg,0.0131910965
test_22.jpg,0.9992737
test_23.jpg,0.9941241
test_24.jpg,0.24642064
test_25.jpg,0.9973742
test_26.jpg,0.0031647047
test_27.jpg,0.00094921305
test_28.jpg,0.96562386
test_29.jpg,0.0003215
test_30.jpg,0.9784807
test_31.jpg,0.9969608
test_32.jpg,0.16033109
test_33.jpg,0.0002463134
test_34.jpg,0.9995409
test_35.jpg,0.6713128
test_36.jpg,0.99963474
test_37.jpg,0.9908716
test_38.jpg,0.67748916
test_39.jpg,0.9963085
test_40.jpg,0.98968315
test_41.jpg,0.9991007
test_42.jpg,0.8001825
test_43.jpg,0.18364687
test_44.jpg,0.99888724
test_45.jpg,0.68359804
test_46.jpg,0.0012766083
test_47.jpg,0.99756193
test_48.jpg,0.98232
test_49.jpg,0.009237524
test_50.jpg,0.99944824
test_51.jpg,0.8255529
test_52.jpg,0.9996278
test_53.jpg,0.9969434
test_54.jpg,0.99928975
test_55.jpg,0.9992499
test_56.jpg,7.79573e-05
test_57.jpg,0.5225888
test_58.jpg,0.0049470263
test_59.jpg,0.9997385
test_60.jpg,0.9999776
test_61.jpg,0.09057625
test_62.jpg,0.9999409
test_63.jpg,0.0010832807
test_64.jpg,0.99874145
test_65.jpg,0.95903444
test_66.jpg,0.14435828
test_67.jpg,0.99815565
test_68.jpg,0.9575466
test_69.jpg,0.81345606
test_70.jpg,0.041300308
test_71.jpg,0.5466361
test_72.jpg,0.9998759
test_73.jpg,0.9999101
test_74.jpg,0.00880618
test_75.jpg,0.0005734704
test_76.jpg,0.9080054
test_77.jpg,0.985292
test_78.jpg,0.9846905
test_79.jpg,0.9778696
test_80.jpg,0.983668
test_81.jpg,0.99989045
test_82.jpg,0.953588
test_83.jpg,0.6826606
test_84.jpg,0.9288023
test_85.jpg,0.999742
test_86.jpg,0.00021119714
test_87.jpg,0.9144436
test_88.jpg,0.99755967
test_89.jpg,0.9575644
test_90.jpg,0.99991226
test_91.jpg,0.99913126
test_92.jpg,0.07447066
test_93.jpg,0.98416024
test_94.jpg,0.999673
test_95.jpg,0.9864413
test_96.jpg,0.9949868
test_97.jpg,0.99999905
test_98.jpg,0.99998224
test_99.jpg,0.98780906
test_100.jpg,0.9982303
test_101.jpg,0.9979474
test_102.jpg,0.2861683
test_103.jpg,0.0010381824
test_104.jpg,0.042402897
test_105.jpg,0.984184
test_106.jpg,0.87345046
test_107.jpg,0.9974632
test_108.jpg,0.9999893
test_109.jpg,0.97216976
test_110.jpg,0.08827188
test_111.jpg,0.9710627
test_112.jpg,0.97567403
test_113.jpg,0.9855843
